Datetime,C_gauge
2011-02,RG12
2011-02,RG09
2011-02,RG15
2011-02,RG03
2011-02,RG11
2011-02,RG04
2011-02,RG18
2011-02,RG18
2011-02,RG11
2011-02,RG11
2011-02,RG17
2011-02,RG11
2011-02,RG20_25
2011-02,RG09
2011-02,RG07
2011-02,RG12
2011-02,RG15
2011-02,RG15
2011-02,RG20_25
2011-02,RG11
2011-02,RG11
2011-02,RG20_25
2011-02,RG04
2011-02,RG08
2011-02,RG20_25
2011-02,RG09
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG15
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG01
2011-02,RG11
2011-02,RG18
2011-02,RG03
2011-02,RG20_25
2011-02,RG15
2011-02,RG11
2011-02,RG03
2011-02,RG20_25
2011-02,RG04
2011-02,RG04
2011-02,RG01
2011-02,RG11
2011-02,RG15
2011-02,RG02
2011-02,RG02
2011-02,RG11
2011-02,RG03
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG05
2011-02,RG04
2011-02,RG07
2011-02,RG18
2011-02,RG10_30
2011-02,RG04
2011-02,RG04
2011-02,RG11
2011-02,RG08
2011-02,RG18
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG04
2011-02,RG04
2011-02,RG09
2011-02,RG20_25
2011-02,RG18
2011-02,RG11
2011-02,RG12
2011-02,RG11
2011-02,RG20_25
2011-02,RG03
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG11
2011-02,RG20_25
2011-02,RG05
2011-02,RG11
2011-02,RG01
2011-02,RG20_25
2011-02,RG17
2011-02,RG11
2011-02,RG18
2011-02,RG04
2011-02,RG11
2011-02,RG11
2011-02,RG04
2011-02,RG04
2011-02,RG10_30
2011-02,RG20_25
2011-02,RG07
2011-02,RG11
2011-02,RG03
2011-02,RG14
2011-02,RG20_25
2011-02,RG08
2011-02,RG11
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG07
2011-02,RG01
2011-02,RG11
2011-02,RG11
2011-02,RG11
2011-02,RG20_25
2011-02,RG10_30
2011-02,RG11
2011-02,RG03
2011-02,RG09
2011-02,RG20_25
2011-02,RG11
2011-02,RG14
2011-02,RG17
2011-02,RG11
2011-02,RG03
2011-02,RG14
2011-02,RG11
2011-02,RG11
2011-02,RG17
2011-02,RG04
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG03
2011-02,RG20_25
2011-02,RG11
2011-02,RG07
2011-02,RG11
2011-02,RG11
2011-02,RG11
2011-02,RG04
2011-02,RG08
2011-02,RG18
2011-02,RG11
2011-02,RG04
2011-02,RG14
2011-02,RG05
2011-02,RG03
2011-02,RG11
2011-02,RG20_25
2011-02,RG03
2011-02,RG11
2011-02,RG20_25
2011-02,RG11
2011-02,RG20_25
2011-02,RG15
2011-02,RG09
2011-02,RG15
2011-02,RG11
2011-02,RG11
2011-02,RG01
2011-02,RG03
2011-02,RG08
2011-02,RG11
2011-02,RG11
2011-02,RG08
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG03
2011-02,RG11
2011-02,RG04
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG03
2011-02,RG03
2011-02,RG03
2011-02,RG11
2011-02,RG11
2011-02,RG01
2011-02,RG20_25
2011-02,RG03
2011-02,RG11
2011-02,RG11
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG11
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG11
2011-02,RG11
2011-02,RG11
2011-02,RG20_25
2011-02,RG16
2011-02,RG12
2011-02,RG15
2011-02,RG20_25
2011-02,RG10_30
2011-02,RG04
2011-02,RG11
2011-02,RG11
2011-02,RG14
2011-02,RG14
2011-02,RG14
2011-02,RG11
2011-02,RG09
2011-02,RG03
2011-02,RG03
2011-02,RG11
2011-02,RG11
2011-02,RG09
2011-02,RG16
2011-02,RG04
2011-02,RG16
2011-02,RG01
2011-02,RG20_25
2011-02,RG04
2011-02,RG02
2011-02,RG04
2011-02,RG07
2011-02,RG11
2011-02,RG11
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG04
2011-02,RG14
2011-02,RG11
2011-02,RG04
2011-02,RG04
2011-02,RG20_25
2011-02,RG11
2011-02,RG11
2011-02,RG11
2011-02,RG04
2011-02,RG03
2011-02,RG20_25
2011-02,RG18
2011-02,RG20_25
2011-02,RG09
2011-02,RG18
2011-02,RG11
2011-02,RG04
2011-02,RG20_25
2011-02,RG17
2011-02,RG07
2011-02,RG11
2011-02,RG11
2011-02,RG11
2011-02,RG09
2011-02,RG04
2011-02,RG11
2011-02,RG04
2011-02,RG20_25
2011-02,RG11
2011-02,RG16
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG15
2011-02,RG11
2011-02,RG20_25
2011-02,RG11
2011-02,RG14
2011-02,RG03
2011-02,RG20_25
2011-02,RG11
2011-02,RG18
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG09
2011-02,RG11
2011-02,RG20_25
2011-02,RG01
2011-02,RG03
2011-02,RG15
2011-02,RG11
2011-02,RG20_25
2011-02,RG08
2011-02,RG02
2011-02,RG03
2011-02,RG16
2011-02,RG20_25
2011-02,RG15
2011-02,RG11
2011-02,RG15
2011-02,RG11
2011-02,RG09
2011-02,RG04
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG03
2011-02,RG09
2011-02,RG01
2011-02,RG11
2011-02,RG11
2011-02,RG18
2011-02,RG20_25
2011-02,RG03
2011-02,RG15
2011-02,RG20_25
2011-02,RG17
2011-02,RG11
2011-02,RG14
2011-02,RG02
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG11
2011-02,RG11
2011-02,RG20_25
2011-02,RG11
2011-02,RG11
2011-02,RG10_30
2011-02,RG09
2011-02,RG17
2011-02,RG20_25
2011-02,RG11
2011-02,RG20_25
2011-02,RG03
2011-02,RG11
2011-02,RG16
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG03
2011-02,RG11
2011-02,RG11
2011-02,RG11
2011-02,RG11
2011-02,RG16
2011-02,RG16
2011-02,RG16
2011-02,RG17
2011-02,RG11
2011-02,RG11
2011-02,RG20_25
2011-02,RG10_30
2011-02,RG11
2011-02,RG11
2011-02,RG20_25
2011-02,RG14
2011-02,RG11
2011-02,RG20_25
2011-02,RG11
2011-02,RG18
2011-02,RG11
2011-02,RG04
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG03
2011-02,RG18
2011-02,RG11
2011-02,RG01
2011-02,RG04
2011-02,RG10_30
2011-02,RG11
2011-02,RG03
2011-02,RG20_25
2011-02,RG04
2011-02,RG03
2011-02,RG08
2011-02,RG10_30
2011-02,RG03
2011-02,RG03
2011-02,RG08
2011-02,RG20_25
2011-02,RG02
2011-02,RG04
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG11
2011-02,RG14
2011-02,RG03
2011-02,RG20_25
2011-02,RG03
2011-02,RG01
2011-02,RG12
2011-02,RG11
2011-02,RG10_30
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG10_30
2011-02,RG20_25
2011-02,RG10_30
2011-02,RG03
2011-02,RG03
2011-02,RG20_25
2011-02,RG16
2011-02,RG20_25
2011-02,RG11
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG11
2011-02,RG03
2011-02,RG20_25
2011-02,RG03
2011-02,RG20_25
2011-02,RG01
2011-02,RG11
2011-02,RG17
2011-02,RG20_25
2011-02,RG09
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG14
2011-02,RG20_25
2011-02,RG20_25
2011-02,RG02
2011-02,RG11
2011-02,RG20_25
2011-02,RG01
2011-02,RG11
2011-02,RG03
2011-02,RG20_25
2011-02,RG02
2011-02,RG20_25
2011-02,RG03
2011-02,RG20_25
2011-02,RG12
2011-02,RG08
2011-02,RG11
2011-02,RG01
2011-02,RG04
2011-02,RG03
2011-02,RG20_25
2011-02,RG11
2011-02,RG15
2011-02,RG18
2011-02,RG08
2011-02,RG20_25
2011-02,RG04
2011-02,RG11
2011-01,RG20_25
2011-01,RG18
2011-01,RG20_25
2011-01,RG18
2011-01,RG20_25
2011-01,RG02
2011-01,RG20_25
2011-01,RG18
2011-01,RG11
2011-01,RG14
2011-01,RG18
2011-01,RG01
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG07
2011-01,RG09
2011-01,RG10_30
2011-01,RG14
2011-01,RG02
2011-01,RG12
2011-01,RG17
2011-01,RG11
2011-01,RG07
2011-01,RG08
2011-01,RG20_25
2011-01,RG03
2011-01,RG09
2011-01,RG14
2011-01,RG20_25
2011-01,RG04
2011-01,RG04
2011-01,RG20_25
2011-01,RG09
2011-01,RG09
2011-01,RG14
2011-01,RG12
2011-01,RG18
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG05
2011-01,RG20_25
2011-01,RG03
2011-01,RG18
2011-01,RG08
2011-01,RG04
2011-01,RG11
2011-01,RG18
2011-01,RG05
2011-01,RG03
2011-01,RG11
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG12
2011-01,RG10_30
2011-01,RG11
2011-01,RG11
2011-01,RG03
2011-01,RG12
2011-01,RG20_25
2011-01,RG18
2011-01,RG01
2011-01,RG20_25
2011-01,RG09
2011-01,RG04
2011-01,RG11
2011-01,RG17
2011-01,RG17
2011-01,RG20_25
2011-01,RG11
2011-01,RG18
2011-01,RG11
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG18
2011-01,RG03
2011-01,RG20_25
2011-01,RG01
2011-01,RG04
2011-01,RG04
2011-01,RG09
2011-01,RG20_25
2011-01,RG17
2011-01,RG20_25
2011-01,RG09
2011-01,RG01
2011-01,RG01
2011-01,RG02
2011-01,RG03
2011-01,RG03
2011-01,RG09
2011-01,RG05
2011-01,RG20_25
2011-01,RG04
2011-01,RG11
2011-01,RG11
2011-01,RG11
2011-01,RG11
2011-01,RG09
2011-01,RG20_25
2011-01,RG11
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG10_30
2011-01,RG20_25
2011-01,RG08
2011-01,RG18
2011-01,RG03
2011-01,RG10_30
2011-01,RG17
2011-01,RG11
2011-01,RG20_25
2011-01,RG11
2011-01,RG11
2011-01,RG11
2011-01,RG14
2011-01,RG01
2011-01,RG02
2011-01,RG01
2011-01,RG01
2011-01,RG03
2011-01,RG11
2011-01,RG20_25
2011-01,RG08
2011-01,RG20_25
2011-01,RG03
2011-01,RG20_25
2011-01,RG09
2011-01,RG20_25
2011-01,RG17
2011-01,RG20_25
2011-01,RG03
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG04
2011-01,RG16
2011-01,RG01
2011-01,RG15
2011-01,RG01
2011-01,RG18
2011-01,RG15
2011-01,RG11
2011-01,RG11
2011-01,RG01
2011-01,RG04
2011-01,RG03
2011-01,RG20_25
2011-01,RG04
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG16
2011-01,RG11
2011-01,RG14
2011-01,RG03
2011-01,RG20_25
2011-01,RG11
2011-01,RG09
2011-01,RG14
2011-01,RG11
2011-01,RG15
2011-01,RG16
2011-01,RG17
2011-01,RG14
2011-01,RG15
2011-01,RG04
2011-01,RG12
2011-01,RG03
2011-01,RG11
2011-01,RG11
2011-01,RG18
2011-01,RG20_25
2011-01,RG04
2011-01,RG20_25
2011-01,RG02
2011-01,RG16
2011-01,RG07
2011-01,RG15
2011-01,RG01
2011-01,RG07
2011-01,RG11
2011-01,RG20_25
2011-01,RG11
2011-01,RG09
2011-01,RG20_25
2011-01,RG08
2011-01,RG18
2011-01,RG18
2011-01,RG02
2011-01,RG20_25
2011-01,RG11
2011-01,RG15
2011-01,RG20_25
2011-01,RG14
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG11
2011-01,RG20_25
2011-01,RG17
2011-01,RG12
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG01
2011-01,RG09
2011-01,RG03
2011-01,RG07
2011-01,RG09
2011-01,RG15
2011-01,RG01
2011-01,RG05
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG03
2011-01,RG11
2011-01,RG03
2011-01,RG20_25
2011-01,RG11
2011-01,RG02
2011-01,RG15
2011-01,RG09
2011-01,RG11
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG11
2011-01,RG07
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG16
2011-01,RG20_25
2011-01,RG03
2011-01,RG05
2011-01,RG20_25
2011-01,RG11
2011-01,RG03
2011-01,RG20_25
2011-01,RG18
2011-01,RG15
2011-01,RG11
2011-01,RG16
2011-01,RG14
2011-01,RG11
2011-01,RG04
2011-01,RG04
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG03
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG10_30
2011-01,RG20_25
2011-01,RG09
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG18
2011-01,RG11
2011-01,RG15
2011-01,RG11
2011-01,RG20_25
2011-01,RG15
2011-01,RG11
2011-01,RG09
2011-01,RG11
2011-01,RG14
2011-01,RG03
2011-01,RG20_25
2011-01,RG03
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG09
2011-01,RG03
2011-01,RG03
2011-01,RG11
2011-01,RG04
2011-01,RG11
2011-01,RG20_25
2011-01,RG05
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG03
2011-01,RG14
2011-01,RG11
2011-01,RG03
2011-01,RG16
2011-01,RG15
2011-01,RG12
2011-01,RG11
2011-01,RG11
2011-01,RG04
2011-01,RG09
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG18
2011-01,RG05
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG02
2011-01,RG01
2011-01,RG11
2011-01,RG11
2011-01,RG11
2011-01,RG01
2011-01,RG20_25
2011-01,RG01
2011-01,RG14
2011-01,RG11
2011-01,RG15
2011-01,RG18
2011-01,RG15
2011-01,RG15
2011-01,RG04
2011-01,RG15
2011-01,RG09
2011-01,RG20_25
2011-01,RG15
2011-01,RG11
2011-01,RG03
2011-01,RG18
2011-01,RG11
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG18
2011-01,RG09
2011-01,RG15
2011-01,RG11
2011-01,RG04
2011-01,RG03
2011-01,RG20_25
2011-01,RG03
2011-01,RG12
2011-01,RG20_25
2011-01,RG16
2011-01,RG11
2011-01,RG04
2011-01,RG11
2011-01,RG05
2011-01,RG20_25
2011-01,RG11
2011-01,RG20_25
2011-01,RG11
2011-01,RG20_25
2011-01,RG08
2011-01,RG20_25
2011-01,RG10_30
2011-01,RG11
2011-01,RG05
2011-01,RG20_25
2011-01,RG02
2011-01,RG03
2011-01,RG03
2011-01,RG18
2011-01,RG11
2011-01,RG01
2011-01,RG20_25
2011-01,RG03
2011-01,RG03
2011-01,RG03
2011-01,RG03
2011-01,RG04
2011-01,RG03
2011-01,RG18
2011-01,RG02
2011-01,RG04
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG18
2011-01,RG18
2011-01,RG04
2011-01,RG11
2011-01,RG14
2011-01,RG03
2011-01,RG03
2011-01,RG20_25
2011-01,RG03
2011-01,RG17
2011-01,RG11
2011-01,RG20_25
2011-01,RG02
2011-01,RG20_25
2011-01,RG11
2011-01,RG08
2011-01,RG20_25
2011-01,RG11
2011-01,RG09
2011-01,RG04
2011-01,RG15
2011-01,RG11
2011-01,RG20_25
2011-01,RG11
2011-01,RG11
2011-01,RG18
2011-01,RG09
2011-01,RG20_25
2011-01,RG11
2011-01,RG14
2011-01,RG11
2011-01,RG01
2011-01,RG11
2011-01,RG03
2011-01,RG20_25
2011-01,RG11
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG15
2011-01,RG04
2011-01,RG11
2011-01,RG20_25
2011-01,RG10_30
2011-01,RG07
2011-01,RG16
2011-01,RG11
2011-01,RG20_25
2011-01,RG02
2011-01,RG01
2011-01,RG11
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG11
2011-01,RG18
2011-01,RG20_25
2011-01,RG17
2011-01,RG11
2011-01,RG01
2011-01,RG01
2011-01,RG11
2011-01,RG20_25
2011-01,RG11
2011-01,RG20_25
2011-01,RG11
2011-01,RG04
2011-01,RG20_25
2011-01,RG11
2011-01,RG11
2011-01,RG12
2011-01,RG11
2011-01,RG03
2011-01,RG11
2011-01,RG03
2011-01,RG20_25
2011-01,RG15
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG04
2011-01,RG03
2011-01,RG08
2011-01,RG20_25
2011-01,RG09
2011-01,RG15
2011-01,RG20_25
2011-01,RG04
2011-01,RG11
2011-01,RG14
2011-01,RG11
2011-01,RG20_25
2011-01,RG03
2011-01,RG20_25
2011-01,RG08
2011-01,RG01
2011-01,RG18
2011-01,RG15
2011-01,RG09
2011-01,RG20_25
2011-01,RG16
2011-01,RG02
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG11
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG17
2011-01,RG17
2011-01,RG11
2011-01,RG03
2011-01,RG20_25
2011-01,RG09
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG02
2011-01,RG03
2011-01,RG11
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG12
2011-01,RG20_25
2011-01,RG07
2011-01,RG02
2011-01,RG09
2011-01,RG04
2011-01,RG15
2011-01,RG03
2011-01,RG03
2011-01,RG15
2011-01,RG03
2011-01,RG15
2011-01,RG08
2011-01,RG11
2011-01,RG11
2011-01,RG20_25
2011-01,RG08
2011-01,RG01
2011-01,RG02
2011-01,RG20_25
2011-01,RG11
2011-01,RG10_30
2011-01,RG11
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG03
2011-01,RG10_30
2011-01,RG10_30
2011-01,RG11
2011-01,RG18
2011-01,RG18
2011-01,RG04
2011-01,RG20_25
2011-01,RG03
2011-01,RG17
2011-01,RG11
2011-01,RG09
2011-01,RG20_25
2011-01,RG08
2011-01,RG09
2011-01,RG12
2011-01,RG18
2011-01,RG03
2011-01,RG03
2011-01,RG11
2011-01,RG03
2011-01,RG11
2011-01,RG09
2011-01,RG11
2011-01,RG05
2011-01,RG20_25
2011-01,RG14
2011-01,RG10_30
2011-01,RG03
2011-01,RG17
2011-01,RG10_30
2011-01,RG20_25
2011-01,RG11
2011-01,RG03
2011-01,RG11
2011-01,RG17
2011-01,RG11
2011-01,RG14
2011-01,RG20_25
2011-01,RG11
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG17
2011-01,RG03
2011-01,RG11
2011-01,RG08
2011-01,RG18
2011-01,RG05
2011-01,RG14
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG03
2011-01,RG03
2011-01,RG11
2011-01,RG05
2011-01,RG08
2011-01,RG11
2011-01,RG11
2011-01,RG07
2011-01,RG09
2011-01,RG04
2011-01,RG11
2011-01,RG20_25
2011-01,RG11
2011-01,RG04
2011-01,RG18
2011-01,RG15
2011-01,RG11
2011-01,RG07
2011-01,RG11
2011-01,RG16
2011-01,RG11
2011-01,RG01
2011-01,RG20_25
2011-01,RG04
2011-01,RG14
2011-01,RG01
2011-01,RG07
2011-01,RG18
2011-01,RG01
2011-01,RG15
2011-01,RG14
2011-01,RG02
2011-01,RG15
2011-01,RG11
2011-01,RG09
2011-01,RG11
2011-01,RG11
2011-01,RG01
2011-01,RG03
2011-01,RG16
2011-01,RG15
2011-01,RG09
2011-01,RG08
2011-01,RG01
2011-01,RG17
2011-01,RG05
2011-01,RG07
2011-01,RG03
2011-01,RG04
2011-01,RG16
2011-01,RG11
2011-01,RG20_25
2011-01,RG01
2011-01,RG15
2011-01,RG04
2011-01,RG20_25
2011-01,RG04
2011-01,RG09
2011-01,RG16
2011-01,RG10_30
2011-01,RG05
2011-01,RG04
2011-01,RG20_25
2011-01,RG11
2011-01,RG09
2011-01,RG16
2011-01,RG04
2011-01,RG18
2011-01,RG11
2011-01,RG11
2011-01,RG20_25
2011-01,RG07
2011-01,RG20_25
2011-01,RG10_30
2011-01,RG04
2011-01,RG20_25
2011-01,RG07
2011-01,RG04
2011-01,RG01
2011-01,RG15
2011-01,RG03
2011-01,RG20_25
2011-01,RG04
2011-01,RG03
2011-01,RG20_25
2011-01,RG20_25
2011-01,RG03
2011-01,RG18
2011-01,RG20_25
2010-12,RG15
2010-12,RG18
2010-12,RG11
2010-12,RG15
2010-12,RG05
2010-12,RG20_25
2010-12,RG03
2010-12,RG03
2010-12,RG20_25
2010-12,RG12
2010-12,RG03
2010-12,RG20_25
2010-12,RG20_25
2010-12,RG10_30
2010-12,RG04
2010-12,RG03
2010-12,RG01
2010-12,RG04
2010-12,RG07
2010-12,RG07
2010-12,RG12
2010-12,RG20_25
2010-12,RG20_25
2010-12,RG03
2010-12,RG11
2010-12,RG20_25
2010-12,RG20_25
2010-12,RG03
2010-12,RG20_25
2010-12,RG03
2010-12,RG04
2010-12,RG08
2010-12,RG11
2010-12,RG12
2010-12,RG20_25
2010-12,RG20_25
2010-12,RG15
2010-12,RG20_25
2010-12,RG15
2010-12,RG18
2010-12,RG03
2010-12,RG03
2010-12,RG11
2010-12,RG11
2010-12,RG17
2010-12,RG18
2010-12,RG16
2010-12,RG11
2010-12,RG20_25
2010-12,RG04
2010-12,RG10_30
2010-12,RG07
2010-12,RG04
2010-12,RG11
2010-12,RG18
2010-12,RG08
2010-12,RG20_25
2010-12,RG11
2010-12,RG15
2010-12,RG03
2010-12,RG03
2010-12,RG20_25
2010-12,RG20_25
2010-12,RG11
2010-12,RG11
2010-12,RG11
2010-12,RG04
2010-12,RG15
2010-12,RG20_25
2010-12,RG20_25
2010-12,RG07
2010-12,RG09
2010-12,RG20_25
2010-12,RG15
2010-12,RG20_25
2010-12,RG18
2010-12,RG01
2010-12,RG20_25
2010-12,RG18
2010-12,RG03
2010-12,RG10_30
2010-12,RG20_25
2010-12,RG10_30
2010-12,RG17
2010-12,RG20_25
2010-12,RG20_25
2010-12,RG11
2010-12,RG07
2010-12,RG15
2010-12,RG15
2010-12,RG07
2010-12,RG20_25
2010-12,RG18
2010-12,RG20_25
2010-12,RG20_25
2010-12,RG20_25
2010-12,RG18
2010-12,RG08
2010-12,RG11
2010-12,RG03
2010-12,RG03
2010-12,RG03
2010-12,RG08
2010-12,RG11
2010-12,RG10_30
2010-12,RG02
2010-12,RG03
2010-12,RG11
2010-12,RG20_25
2010-12,RG18
2010-12,RG10_30
2010-12,RG12
2010-12,RG18
2010-12,RG03
2010-12,RG05
2010-12,RG02
2010-12,RG01
2010-12,RG01
2010-12,RG12
2010-12,RG18
2010-12,RG15
2010-12,RG20_25
2010-12,RG11
2010-12,RG20_25
2010-12,RG20_25
2010-12,RG03
2010-12,RG11
2010-12,RG10_30
2010-12,RG04
2010-12,RG20_25
2010-12,RG18
2010-12,RG01
2010-12,RG03
2010-12,RG03
2010-12,RG01
2010-12,RG10_30
2010-12,RG10_30
2010-12,RG09
2010-12,RG01
2010-12,RG05
2010-12,RG10_30
2010-12,RG03
2010-12,RG11
2010-12,RG07
2010-12,RG20_25
2010-12,RG20_25
2010-12,RG15
2010-12,RG20_25
2010-12,RG11
2010-12,RG16
2010-12,RG11
2010-12,RG11
2010-12,RG04
2010-12,RG18
2010-12,RG01
2010-12,RG15
2010-12,RG01
2010-12,RG02
2010-12,RG10_30
2010-12,RG11
2010-12,RG07
2010-12,RG20_25
2010-12,RG01
2010-12,RG07
2010-12,RG20_25
2010-12,RG20_25
2010-12,RG16
2010-12,RG01
2010-12,RG20_25
2010-12,RG04
2010-12,RG03
2010-12,RG20_25
2010-12,RG11
2010-12,RG12
2010-12,RG07
2010-12,RG11
2010-12,RG03
2010-12,RG15
2010-12,RG12
2010-12,RG20_25
2010-12,RG11
2010-12,RG03
2010-12,RG07
2010-12,RG18
2010-12,RG11
2010-12,RG09
2010-12,RG03
2010-12,RG20_25
2010-12,RG11
2010-12,RG11
2010-12,RG04
2010-12,RG11
2010-12,RG14
2010-12,RG11
2010-12,RG05
2010-12,RG20_25
2010-12,RG04
2010-12,RG01
2010-12,RG20_25
2010-12,RG20_25
2010-12,RG11
2010-12,RG16
2010-12,RG05
2010-12,RG18
